Matram,longitude,latitude,Z.Elev,Date,Salinity,CL,CL_ppt,Dist_to_TanChau_km,River_Dist_km,Travel_Time_Days,WaterLevel_Mean,WaterLevel_Max,WaterLevel_Min,WL_Mean_3D_Lag,WL_Mean_7D_Lag,Month_sin,Month_cos,Day_sin,Day_cos
QLPH122022,105.27,9.41,0.4,2022-06-01,0.1,55.354128034098146,,154.31283511318108,200.6066856471354,4,1.22,1.22,1.22,0.7499999999999997,0.4328571428571432,1.2246467991473532e-16,-1.0,0.5012418134457758,-0.865307254363206
QLPH122022,105.27,9.41,0.4,2022-06-15,6.5,3598.018322216379,,154.31283511318108,200.6066856471354,4,0.9400000000000001,0.9400000000000001,0.9400000000000001,0.5199999999999998,0.4114285714285718,1.2246467991473532e-16,-1.0,0.28023067519921585,-0.9599326896597447
QLPH132017,105.42,9.59,0.35,2017-03-01,0.0179318153,9.926,0.009926,136.51889397823544,177.47456217170608,4,1.06,1.06,1.06,0.8399999999999999,0.6685714285714285,1.0,6.123233995736766e-17,0.8587639582758029,0.5123714121284237
QLPH132017,105.42,9.59,0.35,2017-03-16,0.3,4.2,0.004200000000000001,136.51889397823544,177.47456217170608,4,1.04,1.04,1.04,1.0366666666666664,0.7928571428571429,1.0,6.123233995736766e-17,0.9611297838723007,0.27609697309746883
QLPH132017,105.42,9.59,0.35,2017-04-01,1.8,345.0,0.345,136.51889397823544,177.47456217170608,4,1.17,1.17,1.17,1.0433333333333332,0.7700000000000001,0.8660254037844387,-0.4999999999999998,0.9999907397361901,0.004303538296244289
QLPH132017,105.42,9.59,0.35,2017-04-15,5.5,3562.0,3.562,136.51889397823544,177.47456217170608,4,0.98,0.98,0.98,1.1199999999999999,0.9771428571428571,0.8660254037844387,-0.4999999999999998,0.9721181966290613,-0.23449138957040985
QLPH132017,105.42,9.59,0.35,2017-05-01,2.7,456.0,0.456,136.51889397823544,177.47456217170608,4,1.03,1.03,1.03,1.0199999999999998,0.7314285714285714,0.49999999999999994,-0.8660254037844387,0.8717063187093218,-0.4900286664290592
QLPH132017,105.42,9.59,0.35,2017-05-15,0.4,45.2,0.045200000000000004,136.51889397823544,177.47456217170608,4,1.07,1.07,1.07,1.1233333333333333,0.8785714285714287,0.49999999999999994,-0.8660254037844387,0.7295575540864875,-0.6839194216246106
QLPH132017,105.42,9.59,0.35,2017-06-01,0.7,11.0,0.011,136.51889397823544,177.47456217170608,4,0.8200000000000001,0.8200000000000001,0.8200000000000001,1.2333333333333334,1.0985714285714285,1.2246467991473532e-16,-1.0,0.5012418134457758,-0.865307254363206
QLPH132017,105.42,9.59,0.35,2017-06-15,1.9,315.0,0.315,136.51889397823544,177.47456217170608,4,0.91,0.91,0.91,1.1433333333333333,1.1071428571428572,1.2246467991473532e-16,-1.0,0.28023067519921585,-0.9599326896597447
